City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vila velha,-20.3297,-40.2925,78.94,85,20,8.01,BR,1676424530
1,kaitangata,-46.2817,169.8464,64.22,65,100,7.4,NZ,1676424557
2,hilo,19.7297,-155.09,79.29,83,40,12.66,US,1676424402
3,goias,-15.5807,-49.6362,72.93,81,8,1.77,BR,1676424558
4,tual,-5.6667,132.75,82.44,80,98,17.29,ID,1676424558
5,kapaa,22.0752,-159.319,80.58,69,20,23.02,US,1676424558
6,mahebourg,-20.4081,57.7,77.29,78,40,6.91,MU,1676424558
7,busselton,-33.65,115.3333,64.38,62,100,3.38,AU,1676424559
8,yar-sale,66.8333,70.8333,-6.27,100,88,7.61,RU,1676424559
9,bethel,41.3712,-73.414,44.94,53,0,0.0,US,1676424559
10,fort nelson,58.8053,-122.7002,0.99,77,20,5.75,CA,1676424560
11,saint-philippe,-21.3585,55.7679,76.59,82,44,11.41,RE,1676424560
12,mar del plata,-38.0023,-57.5575,61.09,66,0,3.44,AR,1676424560
13,cidreira,-30.1811,-50.2056,71.37,94,100,12.77,BR,1676424560
14,flinders,-34.5833,150.8552,74.25,66,46,5.79,AU,1676424561
15,yatou,37.15,122.3833,31.77,52,87,13.04,CN,1676424561
16,rikitea,-23.1203,-134.9692,79.48,65,100,4.0,PF,1676424561
17,esperance,-33.8667,121.9,68.34,74,96,13.96,AU,1676424562
18,severo-yeniseyskiy,60.3725,93.0408,-17.55,100,99,3.44,RU,1676424562
19,abnub,27.2696,31.1511,46.62,63,7,8.55,EG,1676424562
20,soritor,-6.1392,-77.1039,69.03,92,100,1.66,PE,1676424563
21,goderich,43.7501,-81.7165,43.12,52,100,12.66,CA,1676424563
22,lorengau,-2.0226,147.2712,77.83,87,100,6.73,PG,1676424563
23,gornopravdinsk,60.05,69.9,-0.17,99,99,3.74,RU,1676424563
24,bluff,-46.6,168.3333,62.85,71,0,18.01,NZ,1676424564
25,kodiak,57.79,-152.4072,36.91,70,20,5.75,US,1676424564
26,arraial do cabo,-22.9661,-42.0278,78.76,73,75,5.75,BR,1676424564
27,codrington,-38.2667,141.9667,81.61,25,100,9.57,AU,1676424565
28,alekseyevsk,57.8406,108.3492,5.88,97,100,4.65,RU,1676424565
29,port alfred,-33.5906,26.891,72.18,96,100,3.0,ZA,1676424565
30,volkhov,59.9258,32.3382,15.33,99,99,0.56,RU,1676424566
31,leningradskiy,69.3833,178.4167,-25.15,95,100,8.59,RU,1676424566
32,jamestown,42.097,-79.2353,46.04,38,0,6.91,US,1676424385
33,tripoli,32.8752,13.1875,55.29,69,58,1.72,LY,1676424408
34,bata,1.8639,9.7658,80.01,81,100,9.26,GQ,1676424566
35,beringovskiy,63.05,179.3167,-12.66,88,63,6.6,RU,1676424566
36,peniche,39.3558,-9.3811,58.1,85,100,10.54,PT,1676424567
37,broome,42.2506,-75.833,43.68,57,0,5.99,US,1676424567
38,praia da vitoria,38.7333,-27.0667,52.75,87,20,5.84,PT,1676424567
39,sidi ali,36.0998,0.4206,51.3,43,91,12.95,DZ,1676424568
40,yaan,7.3833,8.5667,81.72,17,6,9.71,NG,1676424568
41,changli,39.7042,119.1506,27.39,35,96,3.36,CN,1676424568
42,upernavik,72.7868,-56.1549,-20.54,95,100,3.98,GL,1676424568
43,narsaq,60.9167,-46.05,7.02,83,3,7.2,GL,1676424569
44,bredasdorp,-34.5322,20.0403,69.37,81,100,6.78,ZA,1676424569
45,omsukchan,62.5333,155.8,-16.82,98,100,5.88,RU,1676424569
46,hamilton,39.1834,-84.5333,60.76,42,20,19.57,US,1676424471
47,hermanus,-34.4187,19.2345,64.8,88,88,10.16,ZA,1676424570
48,key west,24.5557,-81.7826,73.0,67,0,10.36,US,1676424570
49,norman wells,65.282,-126.8329,-14.76,70,0,2.3,CA,1676424570
50,isiro,2.7739,27.616,66.78,39,14,3.31,CD,1676424570
51,port-gentil,-0.7193,8.7815,81.36,76,100,12.21,GA,1676424571
52,itarema,-2.9248,-39.9167,79.25,82,100,9.51,BR,1676424324
53,trail,49.0998,-117.7022,37.69,90,32,2.71,CA,1676424571
54,bubaque,11.2833,-15.8333,76.01,76,64,13.22,GW,1676424571
